item_id,nb_days
[125564 183200],[2623 1383]
[126335 132738 130259],[2520 2096 1745]
[126335],[2511]
[125564 240137 468020],[2510  848  848]
[190529],[2500]
[126335],[2480]
[126335 531077 253667],[2478  992  640]
[ 126335 2261828 1338469 1846462],[2474 1105 1105  390]
[126335 180014 833666 640839],[2458 1119  735  277]
[183200],[2429]
[125564 154002],[2420 1807]
[125564 716777 124553],[2404  810  789]
[152836 183200 123793 133584],[2399 1550 1306 1218]
[ 149739  180843  123793 1501987],[2389 1933 1538 1028]
[ 149739  337018 1180533],[2379 1106 1106]
[ 180843 2722274],[2352  644]
[ 152836 2565135 1626903],[2351 1260  837]
[152836],[2348]
[126335 127865 148690],[2336 1364 1200]
[ 126335 1798127 1247578 1851598],[2329  490  490  490]
[174258 130259],[2325 1976]
[180843],[2324]
[126335],[2310]
[ 124204 1063576  330238 1601008 1671970],[2309  805  805  379  379]
[124204],[2303]
[125564],[2298]
[124204 142179],[2295 1735]
[180843],[2289]
[126335],[2288]
[126335],[2285]
[124204 196859],[2282 2058]
[ 180843  144714 1625843  952643 2871253 1667930],[2281 1885  782  742  740  740]
[181453],[2280]
[181453],[2274]
[180843 532135],[2273  757]
[126335 124204],[2272 1904]
[ 126335 1445609],[2269  516]
[146684 160612],[2268 1778]
[182915],[2266]
[124204],[2259]
[124204],[2259]
[ 190793  136860 1257812 1069265  731134],[2255  968  505  505  436]
[146684 133584 166006 178058 656480],[2255 1853 1733 1654  624]
[124204],[2253]
[154652],[2252]
[174258 755371],[2252  763]
[149739],[2250]
[174258 154002],[2249 1918]
[124204 144051],[2249 1577]
[183200],[2248]
[ 139086  126335  755371 1895348],[2247 2223 1154  670]
[ 149739  132135 1697202],[2247 1169  417]
[126335 127081],[2247 1532]
[125564],[2247]
[125564 162634 123793 160612 196859],[2247 1771 1721 1429 1429]
[124204 181453],[2247 2194]
[174258],[2247]
[142179],[2247]
[ 139086  140321 2063202],[2247 2180 1231]
[124204],[2246]
[146684 174086],[2245 1315]
[ 126335  987052 1703034  154652 1697202  946530],[2245  740  567  544  514  445]
[149739],[2245]
[126335],[2245]
[ 188485  126335 1295171  127865 1498534 1273149 1109803],[2245 2240  713  458  458  304   96]
[124204],[2245]
[149739],[2245]
[183200],[2244]
[ 149739  123373  195076  545632 1025572 1108555],[2244 1508 1278 1252  663  195]
[ 125564 1010328  164051 1054480],[2244  234  203  203]
[139086],[2244]
[154002],[2243]
[188485],[2243]
[180843],[2243]
[146684 166006 123373],[2241 1505 1349]
[181453],[2241]
[124204],[2240]
[125564 154002],[2240 1825]
[154002],[2240]
[124204],[2239]
[124204 126335],[2239 2239]
[142179],[2238]
[154002],[2238]
[146684 162634],[2237 1141]
[124204],[2236]
[146684],[2236]
[154002],[2236]
[149739],[2235]
[142179],[2235]
[180843],[2234]
[146684],[2233]
[154002],[2232]
[ 183200  160612  166006  134393 1355618  859889  930279  681455 1165567],[2232 1960 1306 1166  642  434    7    7    7]
[126335],[2231]
[140321],[2231]
[159931],[2231]
[ 126335  141761 2396750  224876],[2231 1192  777  509]
[182915 130259],[2231 1803]
[154002],[2231]
[124204],[2231]
[126335 172027],[2231 1592]
[183200],[2231]
[154002 160612],[2231 1832]
[181453],[2231]
[180843],[2231]
[190793],[2230]
[ 124204  466944 1730006],[2230  815  724]
[146684],[2230]
[124204],[2230]
[182915],[2230]
[146684],[2229]
[126335],[2229]
[180843 146684 145906],[2227 1709 1709]
[126335],[2226]
[174258],[2226]
[181453],[2226]
[142179],[2226]
[188485],[2226]
[124204],[2226]
[139086],[2226]
[149739],[2225]
[124204],[2225]
[126335],[2225]
[125564 203856],[2225 1173]
[142179 125564],[2224 1916]
[126335],[2224]
[159931],[2224]
[183200 193179 531077 174086 156607],[2224 1714 1288 1288  986]
[182915 174391],[2224 1708]
[124204],[2224]
[160612 156607],[2223 1351]
[124204],[2223]
[188485 614775],[2223  244]
[124204],[2223]
[159931],[2223]
[ 139086  158028 2625924],[2222 1540  672]
[160612],[2222]
[149739],[2222]
[124204 135750 128730],[2222 1519 1519]
[126335 182915 166633],[2221 2221 1272]
[124204],[2221]
[124204],[2221]
[126335],[2221]
[142179],[2220]
[174258],[2220]
[181453],[2219]
[124204],[2219]
[182915],[2219]
[174258],[2218]
[174258],[2218]
[126335],[2217]
[146684],[2217]
[187164],[2217]
[ 181453 1126241],[2217  217]
[124204 178429],[2217 1558]
[152836],[2217]
[124204],[2217]
[ 146684  127865 1769937],[2216 1492 1128]
[146684],[2216]
[125564],[2216]
[124204 125424 199457 396894],[2215 1176 1176 1173]
[124204],[2215]
